popit_id,politician_name,director_name,similarity,project_sum,project_count,first_project,last_project
545e44f65222837c2c058dfe,Abdul Halim Bin Abdullah,ABDUL HALIM CHUA BIN ABDULLAH,0.8315217391,9075837,4,2001-07-09,2011-04-11
545e42445222837c2c05874d,Ali Anak Biju,ALI ANAK BIJU,1,8975434,11,2000-05-16,2007-01-09
545e42d45222837c2c0588b1,Tajul Urus Mat Zain,TAJUL URUS BIN MAT ZAIN,0.8590909091,8783172,12,0000-00-00,2009-11-05
545e49025222837c2c059804,Tajul Urus Bin Mat Zain,TAJUL URUS BIN MAT ZAIN,1,8783172,12,0000-00-00,2009-11-05
545e44dc5222837c2c058dbd,Khoo Boon Chuan,KHOO BOON CHUAN,1,8740800,12,2001-04-25,2010-12-16
545e48ae5222837c2c059731,Teh Kok Lim,TEH KOK LIM,1,8500000,1,2010-06-28,2010-06-28
545e490a5222837c2c059817,Muhammad Pehimi Yusof,MUHAMMAD PEHIMI BIN YUSOF,0.8712121212,8396465,2,2002-04-11,2005-08-24
545e478f5222837c2c05947e,Muhammad Pehimi Bin Yusof,MUHAMMAD PEHIMI BIN YUSOF,1,8396465,2,2002-04-11,2005-08-24
545e42425222837c2c058748,Mohd Afandi Yusoff,MOHD AFANDI BIN YUSOFF,0.8521303258,8304108,3,2006-03-13,2008-08-04
545e47135222837c2c059347,Mohd Afandi Bin Yusoff,MOHD AFANDI BIN YUSOFF,1,8304108,3,2006-03-13,2008-08-04
545e451d5222837c2c058e5d,Wan Amizan Bin Wan Abdul Razak,DATO' WAN AMIZAN BIN WAN ABDUL RAZAK,0.9171301446,8198700,2,2006-11-21,2010-07-28
545e453f5222837c2c058eb3,Alexander Nanta Linggi,YB ALEXANDER NANTA LINGGI,0.860367893,8081536,5,0000-00-00,2005-11-10
545e44535222837c2c058c67,Bazlan Bin Abd Rahman,MAZLAN BIN ABD RAHMAN,0.85,7780779,2,2002-04-15,2005-11-15
545e42d65222837c2c0588b8,Mazlan Abd Rahman,MAZLAN BIN ABD RAHMAN,0.8444444444,7780779,2,2002-04-15,2005-11-15
545e42b95222837c2c05886e,Mohd Jamal Bin Nasir,MOHD JAMAL BIN NASIR,1,7620900,2,2004-02-14,2005-06-17
545e48925222837c2c0596ee,Abdul Aziz Bin Derashid,ABDUL AZIZ BIN DERASHID,1,7483767,2,2001-03-13,2001-12-12
545e45445222837c2c058ec1,Donald Lawan,DONALD LAWAN,1,7330782,3,2007-04-18,2011-10-01
545e49055222837c2c05980b,Rahim Mohd Zain,RAHIM BIN MOHD ZAIN,0.8263888889,7290923,2,2002-04-15,2002-11-30
545e48b85222837c2c05974b,Zainal Abidin Jidin,ZAINAL ABIDIN,0.875,7202710,5,2006-12-01,2011-04-21
545e46735222837c2c0591b5,Zainal Abidin,ZAINAL ABIDIN,1,7202710,5,2006-12-01,2011-04-21
545e48145222837c2c0595be,John, JOHN,1,7065240,1,2010-02-22,2010-02-22
545e45815222837c2c058f58,Tuan Mustaffa Tuan Mat,TUAN MUSTAFFA BIN TUAN MAT,0.8765217391,6257535,2,2002-03-01,2002-03-25
545e447e5222837c2c058cd2,Tuan Mustaffa Bin Tuan Mat,TUAN MUSTAFFA BIN TUAN MAT,1,6257535,2,2002-03-01,2002-03-25
545e43565222837c2c0589f4,Abdul Rashid Abdul Rahman,ABDUL RAHMAN ,0.8461538462,6213164,8,2006-06-01,2010-10-18
545e42565222837c2c058779,Abdul Rahman Othman,ABDUL RAHMAN ,0.85,6213164,8,2006-06-01,2010-10-18
545e48a05222837c2c059710,Abdul Rahman,ABDUL RAHMAN ,1,6213164,8,2006-06-01,2010-10-18
545e479d5222837c2c0594a1,Mustapha, MUSTAPHA,1,6113739,10,2004-08-15,2010-07-01
545e45475222837c2c058ec7,Suhaimi Bin Hashim,SUHAIMI BIN HASHIM,1,5933804,3,1999-06-11,2001-12-08
545e48a45222837c2c059718,Mohamad Yusof Bin Mohamed Yassin,MOHAMAD YUSOF BIN MOHAMED YASSIN,1,5853539,6,2002-05-10,2005-06-14
545e47595222837c2c0593f8,Ridzuan Bin Ismail,RIDZUAN BIN ISMAIL,1,5705523,1,2009-07-02,2009-07-02
